q		。
w		か
e		た
r		こ
t		さ
y		ら
u		ち
i		く
o		つ
p		，
a		う
s		し
d		て
f		け
g		せ
h		は
j		と
k		き
l		い
;		ん
z		．
x		ひ
c		す
v		ふ
b		へ
n		め
m		そ
,		ね
.		ほ
/		・
。{!}	。	
か{!}	か	
た{!}	た	
こ{!}	こ	
さ{!}	さ	
ら{!}	ら	
ち{!}	ち	
く{!}	く	
つ{!}	つ	
，{!}	，	
う{!}	う	
し{!}	し	
て{!}	て	
け{!}	け	
せ{!}	せ	
は{!}	は	
と{!}	と	
き{!}	き	
い{!}	い	
ん{!}	ん	
．{!}	．	
ひ{!}	ひ	
す{!}	す	
ふ{!}	ふ	
へ{!}	へ	
め{!}	め	
そ{!}	そ	
ね{!}	ね	
ほ{!}	ほ	
・{!}	・	
。{Space}	ぁ	
か{Space}	え	
た{Space}	り	
こ{Space}	ゃ	
さ{Space}	れ	
ら{Space}	ぱ	
ち{Space}	ぢ	
く{Space}	ぐ	
つ{Space}	づ	
，{Space}	ぴ	
う{Space}	を	
し{Space}	あ	
て{Space}	な	
け{Space}	ゅ	
せ{Space}	も	
は{Space}	ば	
と{Space}	ど	
き{Space}	ぎ	
い{Space}	ぽ	
ん{Space}		
．{Space}	ぅ	
ひ{Space}	ー	
す{Space}	ろ	
ふ{Space}	や	
へ{Space}	ぃ	
め{Space}	ぷ	
そ{Space}	ぞ	
ね{Space}	ぺ	
ほ{Space}	ぼ	
・{Space}		
{Space}q	ぁ	
{Space}w	え	
{Space}e	り	
{Space}r	ゃ	
{Space}t	れ	
{Space}y	ぱ	
{Space}u	ぢ	
{Space}i	ぐ	
{Space}o	づ	
{Space}p	ぴ	
{Space}a	を	
{Space}s	あ	
{Space}d	な	
{Space}f	ゅ	
{Space}g	も	
{Space}h	ば	
{Space}j	ど	
{Space}k	ぎ	
{Space}l	ぽ	
{Space};		
{Space}z	ぅ	
{Space}x	ー	
{Space}c	ろ	
{Space}v	や	
{Space}b	ぃ	
{Space}n	ぷ	
{Space}m	ぞ	
{Space},	ぺ	
{Space}.	ぼ	
{Space}/		
。{f13}		
か{f13}	が	
た{f13}	だ	
こ{f13}	ご	
さ{f13}	ざ	
ら{f13}	よ	
ち{f13}	に	
く{f13}	る	
つ{f13}	ま	
，{f13}	ぇ	
う{f13}	ゔ	
し{f13}	じ	
て{f13}	で	
け{f13}	げ	
せ{f13}	ぜ	
は{f13}	み	
と{f13}	お	
き{f13}	の	
い{f13}	ょ	
ん{f13}	っ	
．{f13}		
ひ{f13}	び	
す{f13}	ず	
ふ{f13}	ぶ	
へ{f13}	べ	
め{f13}	ぬ	
そ{f13}	ゆ	
ね{f13}	む	
ほ{f13}	わ	
・{f13}	ぉ	
{f13}q		
{f13}w	が	
{f13}e	だ	
{f13}r	ご	
{f13}t	ざ	
{f13}y	よ	
{f13}u	に	
{f13}i	る	
{f13}o	ま	
{f13}p	ぇ	
{f13}a	ゔ	
{f13}s	じ	
{f13}d	で	
{f13}f	げ	
{f13}g	ぜ	
{f13}h	み	
{f13}j	お	
{f13}k	の	
{f13}l	ょ	
{f13};	っ	
{f13}z		
{f13}x	び	
{f13}c	ず	
{f13}v	ぶ	
{f13}b	べ	
{f13}n	ぬ	
{f13}m	ゆ	
{f13},	む	
{f13}.	わ	
{f13}/	ぉ	
{!}		
{Space}{!}		
{f13}{!}		